Ex ID;Start_time;End_time;Injected_value;CACC_spacing;Leader_speed;Braking_deceleration;Run_status;Impact_status;Collision_state;Collision_time;collider;victim;Collision_pos;Collision_lane;Accel_0_max;Dcel_0_min;Accel_1_max;Dcel_1_min;Accel_2_max;Dcel_2_min;Accel_3_max;Dcel_3_min;Accel_4_max;Dcel_4_min;Accel_5_max;Dcel_5_min;Accel_6_max;Dcel_6_min;Accel_7_max;Dcel_7_min;controller
30;16.0;22.0;0.7;10;100;5;Successful;Effective;No;No;No;No;No;No;0.0;-5.0;0.25;-6.11;0.39;-6.72;0.47;-6.96;0.51;-6.97;0.54;-6.74;0.55;-6.4;0.55;-6.15;CACC
31;16.0;22.0;0.7;5;80;6;Successful;Effective;collision;19.25;vtypeauto.1;vtypeauto.0;509.52;edge_0_0_0;0.0;-6.0;0.2;-7.32;0.32;-8.05;0.38;-8.33;0.41;-8.31;0.43;-7.77;0.44;-7.17;0.44;-7.1;CACC
32;16.0;22.0;0.7;8;80;6;Successful;Effective;collision;20.39;vtypeauto.1;vtypeauto.0;539.84;edge_0_0_0;0.0;-6.0;0.2;-7.32;0.32;-8.05;0.38;-8.33;0.41;-8.31;0.43;-7.77;0.44;-7.17;0.44;-7.1;CACC
33;16.0;22.0;0.7;10;80;6;Successful;Effective;No;No;No;No;No;No;0.0;-6.0;0.2;-7.32;0.32;-8.05;0.38;-8.33;0.41;-8.31;0.43;-7.77;0.44;-7.17;0.44;-7.1;CACC
34;16.0;22.0;0.7;5;100;6;Successful;Effective;collision;19.31;vtypeauto.1;vtypeauto.0;623.59;edge_0_0_0;0.0;-6.0;0.25;-7.33;0.39;-8.06;0.47;-8.34;0.51;-8.35;0.54;-8.06;0.55;-7.55;0.55;-7.17;CACC
35;16.0;22.0;0.7;8;100;6;Successful;Effective;collision;20.48;vtypeauto.1;vtypeauto.0;660.14;edge_0_0_0;0.0;-6.0;0.25;-7.33;0.39;-8.06;0.47;-8.34;0.51;-8.35;0.54;-8.06;0.55;-7.43;0.55;-7.16;CACC
36;16.0;22.0;0.7;10;100;6;Successful;Effective;No;No;No;No;No;No;0.0;-6.0;0.25;-7.33;0.39;-8.06;0.47;-8.34;0.51;-8.35;0.54;-8.06;0.55;-7.43;0.55;-7.16;CACC
37;16.0;22.0;0.7;5;80;7;Successful;Effective;collision;19.02;vtypeauto.1;vtypeauto.0;505.42;edge_0_0_0;0.0;-7.0;0.2;-8.54;0.32;-9.0;0.38;-9.0;0.41;-9.0;0.43;-8.47;0.44;-8.04;0.44;-8.11;CACC
38;16.0;22.0;0.7;8;80;7;Successful;Effective;collision;19.84;vtypeauto.1;vtypeauto.0;533.42;edge_0_0_0;0.0;-7.0;0.2;-8.54;0.32;-9.0;0.38;-9.0;0.41;-9.0;0.43;-8.47;0.44;-8.04;0.44;-8.11;CACC
39;16.0;22.0;0.7;10;80;7;Successful;Effective;collision;20.66;vtypeauto.1;vtypeauto.0;549.72;edge_0_0_0;0.0;-7.0;0.2;-8.54;0.32;-9.0;0.38;-9.0;0.41;-9.0;0.43;-8.47;0.44;-8.04;0.44;-8.11;CACC
40;16.0;22.0;0.7;5;100;7;Successful;Effective;collision;19.07;vtypeauto.1;vtypeauto.0;618.04;edge_0_0_0;0.0;-7.0;0.25;-8.54;0.39;-9.0;0.47;-9.0;0.51;-9.0;0.54;-9.0;0.55;-8.59;0.55;-8.34;CACC
41;16.0;22.0;0.7;8;100;7;Successful;Effective;collision;19.90;vtypeauto.1;vtypeauto.0;650.42;edge_0_0_0;0.0;-7.0;0.25;-8.54;0.39;-9.0;0.47;-9.0;0.51;-9.0;0.54;-9.0;0.55;-8.59;0.55;-8.34;CACC
42;16.0;22.0;0.7;10;100;7;Successful;Effective;collision;20.75;vtypeauto.1;vtypeauto.0;671.07;edge_0_0_0;0.0;-7.0;0.25;-8.54;0.39;-9.0;0.47;-9.0;0.51;-9.0;0.54;-9.0;0.55;-8.59;0.55;-8.34;CACC
43;16.0;22.0;0.7;5;80;8;Successful;Effective;collision;18.85;vtypeauto.1;vtypeauto.0;502.33;edge_0_0_0;0.0;-7.99;0.2;-9.0;0.32;-9.0;0.38;-9.0;0.41;-9.0;0.43;-9.0;0.44;-8.93;0.44;-9.0;CACC
44;16.0;22.0;0.7;8;80;8;Successful;Effective;collision;19.49;vtypeauto.1;vtypeauto.0;528.83;edge_0_0_0;0.0;-7.99;0.2;-9.0;0.32;-9.0;0.38;-9.0;0.41;-9.0;0.43;-9.0;0.44;-8.93;0.44;-9.0;CACC
45;16.0;22.0;0.7;10;80;8;Successful;Effective;collision;19.99;vtypeauto.1;vtypeauto.0;544.91;edge_0_0_0;0.0;-7.99;0.2;-9.0;0.32;-9.0;0.38;-9.0;0.41;-9.0;0.43;-9.0;0.44;-8.93;0.44;-9.0;CACC
46;16.0;22.0;0.7;5;100;8;Successful;Effective;collision;18.89;vtypeauto.1;vtypeauto.0;613.82;edge_0_0_0;0.0;-8.0;0.25;-9.0;0.39;-9.0;0.47;-9.0;0.51;-9.0;0.54;-9.0;0.55;-9.0;0.55;-9.0;CACC
47;16.0;22.0;0.7;8;100;8;Successful;Effective;collision;19.54;vtypeauto.1;vtypeauto.0;643.82;edge_0_0_0;0.0;-8.0;0.25;-9.0;0.39;-9.0;0.47;-9.0;0.51;-9.0;0.54;-9.0;0.55;-9.0;0.55;-9.0;CACC
