Ex ID;Start_time;End_time;Injected_value;CACC_spacing;Run_status;Impact_status;Collision_state;Collision_time;collider;victim;Collision_pos;Collision_lane;Accel_0_max;Dcel_0_min;Accel_1_max;Dcel_1_min;Accel_2_max;Dcel_2_min;Accel_3_max;Dcel_3_min;Accel_4_max;Dcel_4_min;Accel_5_max;Dcel_5_min;Accel_6_max;Dcel_6_min;Accel_7_max;Dcel_7_min;controller
80;16.3;22.3;1.0;8;Successful;Effective;collision;19.54;vtypeauto.1;vtypeauto.0;566.96;edge_0_0_0;0.0;-6.0;0.25;-7.89;0.39;-9.0;0.47;-9.0;;;;;;;;;CACC
81;16.3;22.3;1.0;10;Successful;Effective;collision;20.01;vtypeauto.1;vtypeauto.0;579.55;edge_0_0_0;0.0;-6.0;0.25;-7.89;0.39;-9.0;0.47;-9.0;;;;;;;;;CACC
82;16.3;22.3;1.1;5;Successful;Effective;collision;18.91;vtypeauto.1;vtypeauto.0;547.12;edge_0_0_0;0.0;-6.0;0.25;-8.08;0.39;-9.0;0.47;-9.0;;;;;;;;;CACC
83;16.3;22.3;1.1;8;Successful;Effective;collision;19.42;vtypeauto.1;vtypeauto.0;565.09;edge_0_0_0;0.0;-6.0;0.25;-8.08;0.39;-9.0;0.47;-9.0;;;;;;;;;CACC
84;16.3;22.3;1.1;10;Successful;Effective;collision;19.81;vtypeauto.1;vtypeauto.0;576.93;edge_0_0_0;0.0;-6.0;0.25;-8.08;0.39;-9.0;0.47;-9.0;;;;;;;;;CACC
85;16.4;22.4;0.5;5;Successful;Effective;collision;20.05;vtypeauto.1;vtypeauto.0;565.04;edge_0_0_0;0.0;-6.0;0.25;-6.96;0.39;-7.46;0.47;-7.65;;;;;;;;;CACC
86;16.4;22.4;0.5;8;Successful;Effective;No;No;No;No;No;No;0.0;-6.0;0.25;-6.96;0.39;-7.46;0.47;-7.65;;;;;;;;;CACC
87;16.4;22.4;0.5;10;Successful;Effective;No;No;No;No;No;No;0.0;-6.0;0.25;-6.96;0.39;-7.46;0.47;-7.65;;;;;;;;;CACC
88;16.4;22.4;0.6;5;Successful;Effective;collision;19.58;vtypeauto.1;vtypeauto.0;558.59;edge_0_0_0;0.0;-6.0;0.25;-7.14;0.39;-7.76;0.47;-7.99;;;;;;;;;CACC
89;16.4;22.4;0.6;8;Successful;Effective;collision;21.80;vtypeauto.1;vtypeauto.0;586.47;edge_0_0_0;0.0;-6.0;0.25;-7.14;0.39;-7.76;0.47;-7.99;;;;;;;;;CACC
90;16.4;22.4;0.6;10;Successful;Effective;No;No;No;No;No;No;0.0;-6.0;0.25;-7.14;0.39;-7.76;0.47;-7.99;;;;;;;;;CACC
91;16.4;22.4;0.7;5;Successful;Effective;collision;19.31;vtypeauto.1;vtypeauto.0;554.26;edge_0_0_0;0.0;-6.0;0.25;-7.33;0.39;-8.06;0.47;-8.34;;;;;;;;;CACC
92;16.4;22.4;0.7;8;Successful;Effective;collision;20.48;vtypeauto.1;vtypeauto.0;578.81;edge_0_0_0;0.0;-6.0;0.25;-7.33;0.39;-8.06;0.47;-8.34;;;;;;;;;CACC
93;16.4;22.4;0.7;10;Successful;Effective;No;No;No;No;No;No;0.0;-6.0;0.25;-7.33;0.39;-8.06;0.47;-8.34;;;;;;;;;CACC
94;16.4;22.4;0.8;5;Successful;Effective;collision;19.15;vtypeauto.1;vtypeauto.0;551.53;edge_0_0_0;0.0;-6.0;0.25;-7.51;0.39;-8.37;0.47;-8.72;;;;;;;;;CACC
95;16.4;22.4;0.8;8;Successful;Effective;collision;20.00;vtypeauto.1;vtypeauto.0;573.42;edge_0_0_0;0.0;-6.0;0.25;-7.51;0.39;-8.37;0.47;-8.72;;;;;;;;;CACC
96;16.4;22.4;0.8;10;Successful;Effective;collision;20.90;vtypeauto.1;vtypeauto.0;588.38;edge_0_0_0;0.0;-6.0;0.25;-7.51;0.39;-8.37;0.47;-8.72;;;;;;;;;CACC
97;16.4;22.4;0.9;5;Successful;Effective;collision;19.04;vtypeauto.1;vtypeauto.0;549.56;edge_0_0_0;0.0;-6.0;0.25;-7.7;0.39;-8.7;0.47;-9.0;;;;;;;;;CACC
98;16.4;22.4;0.9;8;Successful;Effective;collision;19.72;vtypeauto.1;vtypeauto.0;569.64;edge_0_0_0;0.0;-6.0;0.25;-7.7;0.39;-8.7;0.47;-9.0;;;;;;;;;CACC
99;16.4;22.4;0.9;10;Successful;Effective;collision;20.33;vtypeauto.1;vtypeauto.0;583.28;edge_0_0_0;0.0;-6.0;0.25;-7.7;0.39;-8.7;0.47;-9.0;;;;;;;;;CACC
100;16.4;22.4;1.0;5;Successful;Effective;collision;18.96;vtypeauto.1;vtypeauto.0;548.05;edge_0_0_0;0.0;-6.0;0.25;-7.89;0.39;-9.0;0.47;-9.0;;;;;;;;;CACC
101;16.4;22.4;1.0;8;Successful;Effective;collision;19.54;vtypeauto.1;vtypeauto.0;566.96;edge_0_0_0;0.0;-6.0;0.25;-7.89;0.39;-9.0;0.47;-9.0;;;;;;;;;CACC
102;16.4;22.4;1.0;10;Successful;Effective;collision;20.01;vtypeauto.1;vtypeauto.0;579.55;edge_0_0_0;0.0;-6.0;0.25;-7.89;0.39;-9.0;0.47;-9.0;;;;;;;;;CACC
103;16.4;22.4;1.1;5;Successful;Effective;collision;18.91;vtypeauto.1;vtypeauto.0;547.12;edge_0_0_0;0.0;-6.0;0.25;-8.08;0.39;-9.0;0.47;-9.0;;;;;;;;;CACC
104;16.4;22.4;1.1;8;Successful;Effective;collision;19.42;vtypeauto.1;vtypeauto.0;565.09;edge_0_0_0;0.0;-6.0;0.25;-8.08;0.39;-9.0;0.47;-9.0;;;;;;;;;CACC
105;16.4;22.4;1.1;10;Successful;Effective;collision;19.81;vtypeauto.1;vtypeauto.0;576.93;edge_0_0_0;0.0;-6.0;0.25;-8.08;0.39;-9.0;0.47;-9.0;;;;;;;;;CACC
106;16.5;22.5;0.5;5;Successful;Effective;collision;20.05;vtypeauto.1;vtypeauto.0;565.04;edge_0_0_0;0.0;-6.0;0.25;-6.96;0.39;-7.46;0.47;-7.65;;;;;;;;;CACC
107;16.5;22.5;0.5;8;Successful;Effective;No;No;No;No;No;No;0.0;-6.0;0.25;-6.96;0.39;-7.46;0.47;-7.65;;;;;;;;;CACC
108;16.5;22.5;0.5;10;Successful;Effective;No;No;No;No;No;No;0.0;-6.0;0.25;-6.96;0.39;-7.46;0.47;-7.65;;;;;;;;;CACC
109;16.5;22.5;0.6;5;Successful;Effective;collision;19.58;vtypeauto.1;vtypeauto.0;558.59;edge_0_0_0;0.0;-6.0;0.25;-7.14;0.39;-7.76;0.47;-7.99;;;;;;;;;CACC
110;16.5;22.5;0.6;8;Successful;Effective;collision;21.80;vtypeauto.1;vtypeauto.0;586.47;edge_0_0_0;0.0;-6.0;0.25;-7.14;0.39;-7.76;0.47;-7.99;;;;;;;;;CACC
