Ex ID;Start_time;End_time;Injected_value;CACC_spacing;Run_status;Impact_status;Collision_state;Collision_time;collider;victim;Collision_pos;Collision_lane;Accel_0_max;Dcel_0_min;Accel_1_max;Dcel_1_min;Accel_2_max;Dcel_2_min;Accel_3_max;Dcel_3_min;Accel_4_max;Dcel_4_min;Accel_5_max;Dcel_5_min;Accel_6_max;Dcel_6_min;Accel_7_max;Dcel_7_min
37;16.1;22.1;1.0;5;Successful;Effective;collision;18.92;vtypeauto.1;vtypeauto.0;442.72;edge_0_0_0;0.0;-6.0;0.2;-7.89;0.31;-9.0;0.38;-9.0;;;;;;;;
38;16.1;22.1;1.0;8;Successful;Effective;collision;19.50;vtypeauto.1;vtypeauto.0;458.56;edge_0_0_0;0.0;-6.0;0.2;-7.89;0.31;-9.0;0.38;-9.0;;;;;;;;
39;16.1;22.1;1.0;10;Successful;Effective;collision;19.97;vtypeauto.1;vtypeauto.0;468.67;edge_0_0_0;0.0;-6.0;0.2;-7.89;0.31;-9.0;0.38;-9.0;;;;;;;;
40;16.1;22.1;1.1;5;Successful;Effective;collision;18.87;vtypeauto.1;vtypeauto.0;442.03;edge_0_0_0;0.0;-6.0;0.2;-8.08;0.31;-9.0;0.38;-9.0;;;;;;;;
41;16.1;22.1;1.1;8;Successful;Effective;collision;19.39;vtypeauto.1;vtypeauto.0;457.46;edge_0_0_0;0.0;-6.0;0.2;-8.08;0.31;-9.0;0.38;-9.0;;;;;;;;
42;16.1;22.1;1.1;10;Successful;Effective;collision;19.77;vtypeauto.1;vtypeauto.0;467.08;edge_0_0_0;0.0;-6.0;0.2;-8.08;0.31;-9.0;0.38;-9.0;;;;;;;;
43;16.2;22.2;0.5;5;Successful;Effective;collision;19.94;vtypeauto.1;vtypeauto.0;453.41;edge_0_0_0;0.0;-6.0;0.2;-6.95;0.31;-7.45;0.38;-7.64;;;;;;;;
44;16.2;22.2;0.5;8;Successful;Effective;No;No;No;No;No;No;0.0;-6.0;0.2;-6.95;0.31;-7.45;0.38;-7.64;;;;;;;;
45;16.2;22.2;0.5;10;Successful;Effective;No;No;No;No;No;No;0.0;-6.0;0.2;-6.95;0.31;-7.45;0.38;-7.64;;;;;;;;
46;16.2;22.2;0.6;5;Successful;Effective;collision;19.50;vtypeauto.1;vtypeauto.0;449.56;edge_0_0_0;0.0;-6.0;0.2;-7.14;0.31;-7.75;0.38;-7.98;;;;;;;;
47;16.2;22.2;0.6;8;Successful;Effective;No;No;No;No;No;No;0.0;-6.0;0.2;-7.14;0.31;-7.75;0.38;-7.98;;;;;;;;
48;16.2;22.2;0.6;10;Successful;Effective;No;No;No;No;No;No;0.0;-6.0;0.2;-7.14;0.31;-7.75;0.38;-7.98;;;;;;;;
49;16.2;22.2;0.7;5;Successful;Effective;collision;19.25;vtypeauto.1;vtypeauto.0;446.85;edge_0_0_0;0.0;-6.0;0.2;-7.32;0.31;-8.05;0.38;-8.33;;;;;;;;
50;16.2;22.2;0.7;8;Successful;Effective;collision;20.39;vtypeauto.1;vtypeauto.0;465.17;edge_0_0_0;0.0;-6.0;0.2;-7.32;0.31;-8.05;0.38;-8.33;;;;;;;;
51;16.2;22.2;0.7;10;Successful;Effective;No;No;No;No;No;No;0.0;-6.0;0.2;-7.32;0.31;-8.05;0.38;-8.33;;;;;;;;
52;16.2;22.2;0.8;5;Successful;Effective;collision;19.10;vtypeauto.1;vtypeauto.0;445.08;edge_0_0_0;0.0;-6.0;0.2;-7.51;0.31;-8.36;0.38;-8.71;;;;;;;;
53;16.2;22.2;0.8;8;Successful;Effective;collision;19.94;vtypeauto.1;vtypeauto.0;462.43;edge_0_0_0;0.0;-6.0;0.2;-7.51;0.31;-8.36;0.38;-8.71;;;;;;;;
54;16.2;22.2;0.8;10;Successful;Effective;collision;20.81;vtypeauto.1;vtypeauto.0;472.65;edge_0_0_0;0.0;-6.0;0.2;-7.51;0.31;-8.36;0.38;-8.71;;;;;;;;
55;16.2;22.2;0.9;5;Successful;Effective;collision;18.99;vtypeauto.1;vtypeauto.0;443.65;edge_0_0_0;0.0;-6.0;0.2;-7.7;0.31;-8.69;0.38;-9.0;;;;;;;;
56;16.2;22.2;0.9;8;Successful;Effective;collision;19.68;vtypeauto.1;vtypeauto.0;460.31;edge_0_0_0;0.0;-6.0;0.2;-7.7;0.31;-8.69;0.38;-9.0;;;;;;;;
57;16.2;22.2;0.9;10;Successful;Effective;collision;20.27;vtypeauto.1;vtypeauto.0;470.57;edge_0_0_0;0.0;-6.0;0.2;-7.7;0.31;-8.69;0.38;-9.0;;;;;;;;
58;16.2;22.2;1.0;5;Successful;Effective;collision;18.92;vtypeauto.1;vtypeauto.0;442.72;edge_0_0_0;0.0;-6.0;0.2;-7.89;0.31;-9.0;0.38;-9.0;;;;;;;;
59;16.2;22.2;1.0;8;Successful;Effective;collision;19.50;vtypeauto.1;vtypeauto.0;458.56;edge_0_0_0;0.0;-6.0;0.2;-7.89;0.31;-9.0;0.38;-9.0;;;;;;;;
60;16.2;22.2;1.0;10;Successful;Effective;collision;19.97;vtypeauto.1;vtypeauto.0;468.67;edge_0_0_0;0.0;-6.0;0.2;-7.89;0.31;-9.0;0.38;-9.0;;;;;;;;
61;16.2;22.2;1.1;5;Successful;Effective;collision;18.87;vtypeauto.1;vtypeauto.0;442.03;edge_0_0_0;0.0;-6.0;0.2;-8.08;0.31;-9.0;0.38;-9.0;;;;;;;;
62;16.2;22.2;1.1;8;Successful;Effective;collision;19.39;vtypeauto.1;vtypeauto.0;457.46;edge_0_0_0;0.0;-6.0;0.2;-8.08;0.31;-9.0;0.38;-9.0;;;;;;;;
63;16.2;22.2;1.1;10;Successful;Effective;collision;19.77;vtypeauto.1;vtypeauto.0;467.08;edge_0_0_0;0.0;-6.0;0.2;-8.08;0.31;-9.0;0.38;-9.0;;;;;;;;
64;16.3;22.3;0.5;5;Successful;Effective;collision;19.94;vtypeauto.1;vtypeauto.0;453.41;edge_0_0_0;0.0;-6.0;0.2;-6.95;0.31;-7.45;0.38;-7.64;;;;;;;;
65;16.3;22.3;0.5;8;Successful;Effective;No;No;No;No;No;No;0.0;-6.0;0.2;-6.95;0.31;-7.45;0.38;-7.64;;;;;;;;
66;16.3;22.3;0.5;10;Successful;Effective;No;No;No;No;No;No;0.0;-6.0;0.2;-6.95;0.31;-7.45;0.38;-7.64;;;;;;;;
67;16.3;22.3;0.6;5;Successful;Effective;collision;19.50;vtypeauto.1;vtypeauto.0;449.56;edge_0_0_0;0.0;-6.0;0.2;-7.14;0.31;-7.75;0.38;-7.98;;;;;;;;
68;16.3;22.3;0.6;8;Successful;Effective;No;No;No;No;No;No;0.0;-6.0;0.2;-7.14;0.31;-7.75;0.38;-7.98;;;;;;;;
69;16.3;22.3;0.6;10;Successful;Effective;No;No;No;No;No;No;0.0;-6.0;0.2;-7.14;0.31;-7.75;0.38;-7.98;;;;;;;;
70;16.3;22.3;0.7;5;Successful;Effective;collision;19.25;vtypeauto.1;vtypeauto.0;446.85;edge_0_0_0;0.0;-6.0;0.2;-7.32;0.31;-8.05;0.38;-8.33;;;;;;;;
71;16.3;22.3;0.7;8;Successful;Effective;collision;20.39;vtypeauto.1;vtypeauto.0;465.17;edge_0_0_0;0.0;-6.0;0.2;-7.32;0.31;-8.05;0.38;-8.33;;;;;;;;
72;16.3;22.3;0.7;10;Successful;Effective;No;No;No;No;No;No;0.0;-6.0;0.2;-7.32;0.31;-8.05;0.38;-8.33;;;;;;;;
73;16.3;22.3;0.8;5;Successful;Effective;collision;19.10;vtypeauto.1;vtypeauto.0;445.08;edge_0_0_0;0.0;-6.0;0.2;-7.51;0.31;-8.36;0.38;-8.71;;;;;;;;
74;16.3;22.3;0.8;8;Successful;Effective;collision;19.94;vtypeauto.1;vtypeauto.0;462.43;edge_0_0_0;0.0;-6.0;0.2;-7.51;0.31;-8.36;0.38;-8.71;;;;;;;;
75;16.3;22.3;0.8;10;Successful;Effective;collision;20.81;vtypeauto.1;vtypeauto.0;472.65;edge_0_0_0;0.0;-6.0;0.2;-7.51;0.31;-8.36;0.38;-8.71;;;;;;;;
76;16.3;22.3;0.9;5;Successful;Effective;collision;18.99;vtypeauto.1;vtypeauto.0;443.65;edge_0_0_0;0.0;-6.0;0.2;-7.7;0.31;-8.69;0.38;-9.0;;;;;;;;
77;16.3;22.3;0.9;8;Successful;Effective;collision;19.68;vtypeauto.1;vtypeauto.0;460.31;edge_0_0_0;0.0;-6.0;0.2;-7.7;0.31;-8.69;0.38;-9.0;;;;;;;;
78;16.3;22.3;0.9;10;Successful;Effective;collision;20.27;vtypeauto.1;vtypeauto.0;470.57;edge_0_0_0;0.0;-6.0;0.2;-7.7;0.31;-8.69;0.38;-9.0;;;;;;;;
79;16.3;22.3;1.0;5;Successful;Effective;collision;18.92;vtypeauto.1;vtypeauto.0;442.72;edge_0_0_0;0.0;-6.0;0.2;-7.89;0.31;-9.0;0.38;-9.0;;;;;;;;
80;16.3;22.3;1.0;8;Successful;Effective;collision;19.50;vtypeauto.1;vtypeauto.0;458.56;edge_0_0_0;0.0;-6.0;0.2;-7.89;0.31;-9.0;0.38;-9.0;;;;;;;;
81;16.3;22.3;1.0;10;Successful;Effective;collision;19.97;vtypeauto.1;vtypeauto.0;468.67;edge_0_0_0;0.0;-6.0;0.2;-7.89;0.31;-9.0;0.38;-9.0;;;;;;;;
82;16.3;22.3;1.1;5;Successful;Effective;collision;18.87;vtypeauto.1;vtypeauto.0;442.03;edge_0_0_0;0.0;-6.0;0.2;-8.08;0.31;-9.0;0.38;-9.0;;;;;;;;
83;16.3;22.3;1.1;8;Successful;Effective;collision;19.39;vtypeauto.1;vtypeauto.0;457.46;edge_0_0_0;0.0;-6.0;0.2;-8.08;0.31;-9.0;0.38;-9.0;;;;;;;;
84;16.3;22.3;1.1;10;Successful;Effective;collision;19.77;vtypeauto.1;vtypeauto.0;467.08;edge_0_0_0;0.0;-6.0;0.2;-8.08;0.31;-9.0;0.38;-9.0;;;;;;;;
85;16.4;22.4;0.5;5;Successful;Effective;collision;19.94;vtypeauto.1;vtypeauto.0;453.41;edge_0_0_0;0.0;-6.0;0.2;-6.95;0.31;-7.45;0.38;-7.64;;;;;;;;
86;16.4;22.4;0.5;8;Successful;Effective;No;No;No;No;No;No;0.0;-6.0;0.2;-6.95;0.31;-7.45;0.38;-7.64;;;;;;;;
87;16.4;22.4;0.5;10;Successful;Effective;No;No;No;No;No;No;0.0;-6.0;0.2;-6.95;0.31;-7.45;0.38;-7.64;;;;;;;;
88;16.4;22.4;0.6;5;Successful;Effective;collision;19.50;vtypeauto.1;vtypeauto.0;449.56;edge_0_0_0;0.0;-6.0;0.2;-7.14;0.31;-7.75;0.38;-7.98;;;;;;;;
89;16.4;22.4;0.6;8;Successful;Effective;No;No;No;No;No;No;0.0;-6.0;0.2;-7.14;0.31;-7.75;0.38;-7.98;;;;;;;;
90;16.4;22.4;0.6;10;Successful;Effective;No;No;No;No;No;No;0.0;-6.0;0.2;-7.14;0.31;-7.75;0.38;-7.98;;;;;;;;
91;16.4;22.4;0.7;5;Successful;Effective;collision;19.25;vtypeauto.1;vtypeauto.0;446.85;edge_0_0_0;0.0;-6.0;0.2;-7.32;0.31;-8.05;0.38;-8.33;;;;;;;;
92;16.4;22.4;0.7;8;Successful;Effective;collision;20.39;vtypeauto.1;vtypeauto.0;465.17;edge_0_0_0;0.0;-6.0;0.2;-7.32;0.31;-8.05;0.38;-8.33;;;;;;;;
93;16.4;22.4;0.7;10;Successful;Effective;No;No;No;No;No;No;0.0;-6.0;0.2;-7.32;0.31;-8.05;0.38;-8.33;;;;;;;;
94;16.4;22.4;0.8;5;Successful;Effective;collision;19.10;vtypeauto.1;vtypeauto.0;445.08;edge_0_0_0;0.0;-6.0;0.2;-7.51;0.31;-8.36;0.38;-8.71;;;;;;;;
95;16.4;22.4;0.8;8;Successful;Effective;collision;19.94;vtypeauto.1;vtypeauto.0;462.43;edge_0_0_0;0.0;-6.0;0.2;-7.51;0.31;-8.36;0.38;-8.71;;;;;;;;
96;16.4;22.4;0.8;10;Successful;Effective;collision;20.81;vtypeauto.1;vtypeauto.0;472.65;edge_0_0_0;0.0;-6.0;0.2;-7.51;0.31;-8.36;0.38;-8.71;;;;;;;;
